,sample_id,severity,snippet
122,8706829.txt,none,"	public static final boolean gdk_event_get_scroll_direction(long /*int*/ event, int [] direction) {
		lock.lock();
		try {
			return _gdk_event_get_scroll_direction(event, direction);
		} finally {
			lock.unlock();
		}
	}"
123,8457702.txt,none,"    public static void changeFunctionEndToken(String... endToken) {
        for (SimpleTokenType type : KNOWN_TOKENS) {
            if (type.getType() == TokenType.functionEnd) {
                KNOWN_TOKENS.remove(type);
            }
        }

        // add after the start tokens
        int pos = 0;
        for (SimpleTokenType type : KNOWN_TOKENS) {
            if (type.getType() == TokenType.functionStart) {
                pos++;
            }
        }

        // add after function start of list as its a more common token to be used
        for (String token : endToken) {
            KNOWN_TOKENS.add(pos, new SimpleTokenType(TokenType.functionEnd, token));
        }
    }"
124,7581965.txt,minor,"	@Nullable
	public static PropertyEditor findEditorByConvention(@Nullable Class<?> targetType) {
		if (targetType == null || targetType.isArray() || unknownEditorTypes.contains(targetType)) {
			return null;
		}
		ClassLoader cl = targetType.getClassLoader();
		if (cl == null) {
			try {
				cl = ClassLoader.getSystemClassLoader();
				if (cl == null) {
					return null;
				}
			}
			catch (Throwable ex) {
				// e.g. AccessControlException on Google App Engine
				if (logger.isDebugEnabled()) {
					logger.debug(""Could not access system ClassLoader: "" + ex);
				}
				return null;
			}
		}
		String editorName = targetType.getName() + ""Editor"";
		try {
			Class<?> editorClass = cl.loadClass(editorName);
			if (!PropertyEditor.class.isAssignableFrom(editorClass)) {
				if (logger.isInfoEnabled()) {
					logger.info(""Editor class ["" + editorName +
							""] does not implement [java.beans.PropertyEditor] interface"");
				}
				unknownEditorTypes.add(targetType);
				return null;
			}
			return (PropertyEditor) instantiateClass(editorClass);
		}
		catch (ClassNotFoundException ex) {
			if (logger.isTraceEnabled()) {
				logger.trace(""No property editor ["" + editorName + ""] found for type "" +
						targetType.getName() + "" according to 'Editor' suffix convention"");
			}
			unknownEditorTypes.add(targetType);
			return null;
		}
	}"
125,6757343.txt,none,"    @Override
    public APIRequestCreateSpacoDataSetCollection setParams(Map<String, Object> params) {
      setParamsInternal(params);
      return this;
    }"
126,3945199.txt,none,"  @Override
  public void endWindow()
  {
  }"
127,7518556.txt,none,"    public static boolean isDeprecated(TypeMirror baseType) {
        if (baseType instanceof DeclaredType) {
            return isDeprecated((TypeElement) ((DeclaredType) baseType).asElement());
        }
        return false;
    }"
128,4778425.txt,none,"  @Override
  public UpdateIndexAuthorizationProcessor getInstance(SolrQueryRequest req,
      SolrQueryResponse rsp, UpdateRequestProcessor next) {
    return new UpdateIndexAuthorizationProcessor(req, rsp, next);
  }"
129,6179494.txt,none,"  public SearchResultEntry(String filePath, List<OffsetData> data) {
    this.filePath = filePath;
    this.data = data;
  }"
130,4089742.txt,none,"    private static String extractErrorMessage(Throwable e) {
        Throwable cause = getRootCause(e);
        String fullyQualifiedExceptionClassName = cause.getClass().getName();
        String[] hierarchySplits = fullyQualifiedExceptionClassName.split(""\\."");
        //try returning the class without package qualification
        String exceptionClassName = hierarchySplits[hierarchySplits.length - 1];
        String localizedMessage = cause.getLocalizedMessage();
        if (localizedMessage == null) {
            localizedMessage = ""Internal error. Please check instance logs for further details."";
        }
        return localizedMessage + "" ["" + exceptionClassName + ""]"";
    }"
131,7923456.txt,critical,"	@Override
	public ListCompositeContentProvider getContentProvider(EObject object, EStructuralFeature feature, EList<EObject>list) {
		if (contentProvider==null) {
			contentProvider = new ListCompositeContentProvider(this, object, feature, list) {
				@Override
				public Object[] getElements(Object inputElement) {
					
					Object elements[] = super.getElements(inputElement);
					List<Property> props = null;
					ModelExtensionDescriptor med = null;
					ExtendedPropertiesAdapter<?> adapter = ExtendedPropertiesAdapter.adapt(activity);
					if (adapter!=null) {
						// look for it in the property adapter first
						med = adapter.getProperty(ModelExtensionDescriptor.class);
					}

					if (med==null) {
						// not found? get the Custom Task ID from the Task object
						String id = CustomElementFeatureContainer.findId(activity);
						if (id!=null) {
							// and look it up in the Target Runtime's list of
							// Custom Task Descriptors
					    	TargetRuntime rt = TargetRuntime.getRuntime(activity);
					    	med = rt.getCustomTask(id);
						}
					}
					if (med!=null) {
						if (JbpmIoParametersListComposite.this.isInput)
							props = med.getProperties(""ioSpecification/dataInputs/name""); //$NON-NLS-1$
						else
							props = med.getProperties(""ioSpecification/dataOutputs/name""); //$NON-NLS-1$
					}
					
					List<Object> filtered = new ArrayList<Object>();
					for (Object e : elements) {
						boolean skip = false;
						EStructuralFeature f = ((EObject)e).eClass().getEStructuralFeature(""name""); //$NON-NLS-1$
						if (f!=null) {
							Object elementName = (String) ((EObject)e).eGet(f);
							if (props!=null) {
								for (Property p : props) {
									Object propName = p.getFirstStringValue();
									if (elementName!=null && propName!=null && elementName.equals(propName)) {
										skip = true;
										break;
									}
								}
							}
							if (activity instanceof SendTask) {
								if (""Message"".equals(elementName)) {
									skip = true;
								}
							}
							else if (activity instanceof ReceiveTask) {
								if (""Message"".equals(elementName)) {
									skip = true;
								}
//								else if (""MessageId"".equals(elementName)) {
//									skip = true;
//								}
							}
							else if (activity instanceof ServiceTask) {
								if (""Parameter"".equals(elementName)) {
									skip = true;
								}
								else if (""Result"".equals(elementName)) {
									skip = true;
								}
								// TODO: these should be automatically added by the ""Service Task"" tab...
//								else if (""Interface"".equals(elementName)) {
//									skip = true;
//								}
//								else if (""Operation"".equals(elementName)) {
//									skip = true;
//								}
//								else if (""ParameterType"".equals(elementName)) {
//									skip = true;
//								}
							}
						}
						if (!skip)
							filtered.add(e);
					}
					return filtered.toArray();
				}
			};
		}
		return contentProvider;
	}"
132,4043104.txt,none,"    public int getMaxFramesForWindow() {
        int frameSize = getFrameSize();
        return getInt(MAX_FRAMES_FOR_WINDOW, (int) (((long) 4 * MB) / frameSize));
    }"
133,8904560.txt,none,"  @Override
  public SerDeStats getSerDeStats() {
    // No support for statistics. That seems to be a popular answer.
    return null;
  }"
134,3794102.txt,none,"  @Override
  public void seekTo(int windowIndex, long positionMs) {
    verifyApplicationThread();
    analyticsCollector.notifySeekStarted();
    player.seekTo(windowIndex, positionMs);
  }"
135,7356984.txt,major,"    private String formatQueryString(final String projectUri, final String[] args) {
        final StringBuffer result = new StringBuffer();

        if (projectUri != null) {
            if (isCompatibleMode) {
                result.append(""puri=""); //$NON-NLS-1$
                result.append(URLEncode.encode(projectUri.toString()));
            } else {
                final ArtifactID artifactID = new ArtifactID(projectUri);
                result.append(""pguid=""); //$NON-NLS-1$
                result.append(URLEncode.encode(artifactID.getToolSpecificID()));
            }
        } else if (!isCompatibleMode) {
            result.append(""pcguid=""); //$NON-NLS-1$
            result.append(URLEncode.encode(collectionId.toString()));
        }

        for (int i = 0; i < args.length - 1; i += 2) {
            final String name = args[i];
            final String value = args[i + 1];

            if (name != null) {
                if (result.length() > 0) {
                    result.append('&');
                }

                result.append(URLEncode.encode(name));
            }

            if (value != null) {
                if (name != null) {
                    result.append('=');
                } else if (result.length() > 0) {
                    result.append('&');
                }

                result.append(URLEncode.encode(value));
            }
        }

        return result.toString();
    }"
136,5393638.txt,none,"        @Override
        public Object instantiate(String className) throws ReflectionException, MBeanException {
            return null;
        }"
137,3918920.txt,major,"    public void removeDependentService(
        CachingServiceReference<?> serviceReference) {

        _dependentServices.remove(serviceReference);
    }"
138,6943892.txt,none,"    private void applyAttributes(@NonNull AttributeSet attrs) {
        TypedArray a = getContext().obtainStyledAttributes(attrs, R.styleable.HoverView);
        try {
            createCollapsedDockFromAttrs(a);
        } finally {
            a.recycle();
        }
    }"
139,7476486.txt,none,"	public Customer1935(String firstName, String lastName) {
		this.firstName = firstName;
		this.lastName = lastName;
	}"
140,8443434.txt,none,"    private Region messageToRegion(Message message) {
        Region region = message.getBody(Region.class);
        if (region == null) {
            Map headers = message.getHeaders();
            RegionBuilder builder = Builders.region();

            if (headers.containsKey(KeystoneConstants.DESCRIPTION)) {
                builder.description(message.getHeader(KeystoneConstants.DESCRIPTION, String.class));
            }

            region = builder.build();
        }

        return region;
    }"
141,6824306.txt,none,"    public final void norm1_LogicalORExpression__Group_1_0_0__1() throws RecognitionException {

        		int stackSize = keepStackSize();
        	
        try {
            {
            pushFollow(FOLLOW_2);
            norm1_LogicalORExpression__Group_1_0_0__1__Impl();

            state._fsp--;
            if (state.failed) return ;

            }

        }
        catch (RecognitionException re) {
            reportError(re);
            recover(input,re);
        }
        finally {

            	restoreStackSize(stackSize);

        }
        return ;
    }"
142,6730087.txt,major,"  private boolean isValidXML10Name() throws java.io.IOException {
    int zzInput;
    int zzAction;

    // cached fields:
    int zzCurrentPosL;
    int zzMarkedPosL;
    int zzEndReadL = zzEndRead;
    char [] zzBufferL = zzBuffer;
    char [] zzCMapL = ZZ_CMAP;

    int [] zzTransL = ZZ_TRANS;
    int [] zzRowMapL = ZZ_ROWMAP;
    int [] zzAttrL = ZZ_ATTRIBUTE;

    while (true) {
      zzMarkedPosL = zzMarkedPos;

      zzAction = -1;

      zzCurrentPosL = zzCurrentPos = zzStartRead = zzMarkedPosL;
  
      zzState = zzLexicalState;


      zzForAction: {
        while (true) {
    
          if (zzCurrentPosL < zzEndReadL)
            zzInput = zzBufferL[zzCurrentPosL++];
          else if (zzAtEOF) {
            zzInput = YYEOF;
            break zzForAction;
          }
          else {
            // store back cached positions
            zzCurrentPos  = zzCurrentPosL;
            zzMarkedPos   = zzMarkedPosL;
            boolean eof = zzRefill();
            // get translated positions and possibly new buffer
            zzCurrentPosL  = zzCurrentPos;
            zzMarkedPosL   = zzMarkedPos;
            zzBufferL      = zzBuffer;
            zzEndReadL     = zzEndRead;
            if (eof) {
              zzInput = YYEOF;
              break zzForAction;
            }
            else {
              zzInput = zzBufferL[zzCurrentPosL++];
            }
          }
          int zzNext = zzTransL[ zzRowMapL[zzState] + zzCMapL[zzInput] ];
          if (zzNext == -1) break zzForAction;
          zzState = zzNext;

          int zzAttributes = zzAttrL[zzState];
          if ( (zzAttributes & 1) == 1 ) {
            zzAction = zzState;
            zzMarkedPosL = zzCurrentPosL;
            if ( (zzAttributes & 8) == 8 ) break zzForAction;
          }

        }
      }

      // store back cached position
      zzMarkedPos = zzMarkedPosL;

      switch (zzAction < 0 ? zzAction : ZZ_ACTION[zzAction]) {
        case 1: 
          { return false; /* matched wild */
          }
        case 4: break;
        case 2: 
          { return true; /* exact name */
          }
        case 5: break;
        case 3: 
          { return false; /* more than name */
          }
        case 6: break;
        default: 
          if (zzInput == YYEOF && zzStartRead == zzCurrentPos) {
            zzAtEOF = true;
              { {return false; /* hit end with no match */} }
          } 
          else {
            zzScanError(ZZ_NO_MATCH);
          }
      }
    }
  }"
143,4195038.txt,none,"    public boolean matchesEndpoints(Set<InetAddressAndPort> endpoints, Set<InetAddressAndPort> transEndpoints)
    {
        // Use strict equality here, as worst thing that can happen is we generate one more stream
        return this.endpoints.equals(endpoints) && this.transEndpoints.equals(transEndpoints);
    }"
144,9127614.txt,none,"	@Override
	public boolean mkdirs( )
	{
		return file.mkdirs( );
	}"
145,6044730.txt,none,"	public double[] getAnglesDegrees() {
		double[] angles = new double[] { Math.toDegrees(ang[0]), Math.toDegrees(ang[1]) };
		return angles;
	}"
146,6579891.txt,none,"    public void setEditorAreaVisible(boolean showEditorArea) {
        editorVisible = showEditorArea;
    }"
147,8905843.txt,none,"  private static String applyTimestampFormat(String arg, String format, TimeZone timeZone) {
    return DruidExpressions.functionCall(""timestamp_format"",
        ImmutableList.of(arg, DruidExpressions.stringLiteral(format), DruidExpressions.stringLiteral(timeZone.getID()))
    );
  }"
148,4735672.txt,none,"    private static void validateArguments(final int p, final int sp) throws UDFArgumentException {
        if (p < 4 || p > sp) {
            throw new UDFArgumentException(""p must be between 4 and sp (inclusive)"");
        }
        if (sp > 32) {
            throw new UDFArgumentException(""sp values greater than 32 not supported"");
        }
    }"
149,8424288.txt,none,"    public DnsDigProducer(Endpoint endpoint) {
        super(endpoint);
    }"
150,4634262.txt,none,"  public String toString() {
    return String.valueOf(layoutVersion) + FIELD_SEPARATOR
         + String.valueOf(namespaceID) + FIELD_SEPARATOR
         + String.valueOf(cTime) + FIELD_SEPARATOR
         + String.valueOf(editsTime) + FIELD_SEPARATOR
         + String.valueOf(checkpointTime) + FIELD_SEPARATOR
         + imageDigest.toString() + FIELD_SEPARATOR
         + clusterID + FIELD_SEPARATOR
         + blockpoolID ;
  }"
151,4919453.txt,none,"    private JPanel createPortPanel() {
        portField = new JTextField(HttpMirrorControl.DEFAULT_PORT_S, 8);
        portField.setName(HttpMirrorControl.PORT);

        JLabel label = new JLabel(JMeterUtils.getResString(""port"")); // $NON-NLS-1$
        label.setLabelFor(portField);

        maxPoolSizeField = new JTextField(Integer.toString(HttpMirrorControl.DEFAULT_MAX_POOL_SIZE), 8);
        maxPoolSizeField.setName(HttpMirrorControl.MAX_POOL_SIZE);

        JLabel mpsLabel = new JLabel(JMeterUtils.getResString(""httpmirror_max_pool_size"")); // $NON-NLS-1$
        mpsLabel.setLabelFor(maxPoolSizeField);

        maxQueueSizeField = new JTextField(Integer.toString(HttpMirrorControl.DEFAULT_MAX_QUEUE_SIZE), 8);
        maxQueueSizeField.setName(HttpMirrorControl.MAX_QUEUE_SIZE);

        JLabel mqsLabel = new JLabel(JMeterUtils.getResString(""httpmirror_max_queue_size"")); // $NON-NLS-1$
        mqsLabel.setLabelFor(maxQueueSizeField);

        HorizontalPanel panel = new HorizontalPanel();
        panel.setBorder(BorderFactory.createTitledBorder(BorderFactory.createEtchedBorder(),
                JMeterUtils.getResString(""httpmirror_settings""))); // $NON-NLS-1$
        
        panel.add(label);
        panel.add(portField);

        panel.add(mpsLabel);
        panel.add(maxPoolSizeField);

        panel.add(mqsLabel);
        panel.add(maxQueueSizeField);
        
        panel.add(Box.createHorizontalStrut(10));

        return panel;
    }"
152,5226222.txt,none,"  @Override
  public BatchResponsePart executeChangeSet(final BatchHandler handler, final List<ODataRequest> requests)
      throws ODataException {
    List<ODataResponse> responses = new ArrayList<ODataResponse>();
    try {
      oDataJPAContext.getODataJPATransaction().begin();

      for (ODataRequest request : requests) {
        oDataJPAContext.setODataContext(getContext());
        ODataResponse response = handler.handleRequest(request);
        if (response.getStatus().getStatusCode() >= HttpStatusCodes.BAD_REQUEST.getStatusCode()) {
          // Rollback
          oDataJPAContext.getODataJPATransaction().rollback();
          List<ODataResponse> errorResponses = new ArrayList<ODataResponse>(1);
          errorResponses.add(response);
          return BatchResponsePart.responses(errorResponses).changeSet(false).build();
        }
        responses.add(response);
      }
      oDataJPAContext.getODataJPATransaction().commit();

      return BatchResponsePart.responses(responses).changeSet(true).build();
    } catch (Exception e) {
      throw new ODataException(""Error on processing request content:"" + e.getMessage(), e);
    } finally {
      close(true);
    }
  }"
153,6517482.txt,none,"		public Image getImage(Object obj) {
			return PlatformUI.getWorkbench().
					getSharedImages().getImage(ISharedImages.IMG_OBJ_ELEMENT);
		}"
154,6600350.txt,none,"    @Override
    public void onViewCreated(View view, @Nullable Bundle savedInstanceState) {
        super.onViewCreated(view, savedInstanceState);
        mSpinner = (Spinner) view.findViewById(R.id.spinner);
        mResult = (TextView) view.findViewById(R.id.result);
        mSeekBar = (SeekBar) view.findViewById(R.id.seekBar);
        mRatingBar = (RatingBar) view.findViewById(R.id.ratingBar);
        mSwitchBtn = (Switch) view.findViewById(R.id.switchBtn);

        mSeekBar.setOnSeekBarChangeListener(this);
        mRatingBar.setOnRatingBarChangeListener(this);
        mSpinner.setOnItemSelectedListener(this);
        mSwitchBtn.setOnCheckedChangeListener(this);

        ArrayAdapter<String> adapter = new ArrayAdapter<String>(getContext(), android.R.layout.simple_spinner_item, data);
        adapter.setDropDownViewResource(android.R.layout.simple_spinner_dropdown_item);

        mSpinner.setAdapter(adapter);
        mSpinner.setSelection(2);


    }"
155,8971685.txt,none,"    @Override
    public Explanation explain(LeafReaderContext context, int doc) throws IOException {
      Scorer scorer = scorer(context);
      if (scorer != null) {
        int newDoc = scorer.iterator().advance(doc);
        if (newDoc == doc) {
          final float freq;
          if (scorer instanceof BM25FScorer) {
            freq = ((BM25FScorer) scorer).freq();
          } else {
            assert scorer instanceof TermScorer;
            freq = ((TermScorer) scorer).freq();
          }
          final MultiNormsLeafSimScorer docScorer =
              new MultiNormsLeafSimScorer(simWeight, context.reader(), fieldAndWeights.values(), true);
          Explanation freqExplanation = Explanation.match(freq, ""termFreq="" + freq);
          Explanation scoreExplanation = docScorer.explain(doc, freqExplanation);
          return Explanation.match(
              scoreExplanation.getValue(),
              ""weight("" + getQuery() + "" in "" + doc + "") [""
                  + similarity.getClass().getSimpleName() + ""], result of:"",
              scoreExplanation);
        }
      }
      return Explanation.noMatch(""no matching term"");
    }"
156,7108130.txt,major,"        private int encode0(byte[] src, int off, int end, byte[] dst) {
            char[] base64 = isURL ? toBase64URL : toBase64;
            int sp = off;
            int slen = (end - off) / 3 * 3;
            int sl = off + slen;
            if (linemax > 0 && slen  > linemax / 4 * 3)
                slen = linemax / 4 * 3;
            int dp = 0;
            while (sp < sl) {
                int sl0 = Math.min(sp + slen, sl);
                for (int sp0 = sp, dp0 = dp ; sp0 < sl0; ) {
                    int bits = (src[sp0++] & 0xff) << 16 |
                               (src[sp0++] & 0xff) <<  8 |
                               (src[sp0++] & 0xff);
                    dst[dp0++] = (byte)base64[(bits >>> 18) & 0x3f];
                    dst[dp0++] = (byte)base64[(bits >>> 12) & 0x3f];
                    dst[dp0++] = (byte)base64[(bits >>> 6)  & 0x3f];
                    dst[dp0++] = (byte)base64[bits & 0x3f];
                }
                int dlen = (sl0 - sp) / 3 * 4;
                dp += dlen;
                sp = sl0;
                if (dlen == linemax && sp < end) {
                    for (byte b : newline){
                        dst[dp++] = b;
                    }
                }
            }
            if (sp < end) {               // 1 or 2 leftover bytes
                int b0 = src[sp++] & 0xff;
                dst[dp++] = (byte)base64[b0 >> 2];
                if (sp == end) {
                    dst[dp++] = (byte)base64[(b0 << 4) & 0x3f];
                    if (doPadding) {
                        dst[dp++] = '=';
                        dst[dp++] = '=';
                    }
                } else {
                    int b1 = src[sp++] & 0xff;
                    dst[dp++] = (byte)base64[(b0 << 4) & 0x3f | (b1 >> 4)];
                    dst[dp++] = (byte)base64[(b1 << 2) & 0x3f];
                    if (doPadding) {
                        dst[dp++] = '=';
                    }
                }
            }
            return dp;
        }"
157,5102890.txt,none,"    protected Item parseItem(Element rssRoot, Element eItem) {
        Item item = super.parseItem(rssRoot,eItem);
        Element e = eItem.getChild(""description"", getRSSNamespace());
        if (e!=null) {
            item.setDescription(parseItemDescription(rssRoot,e));
        }
        Element ce = eItem.getChild(""encoded"", getContentNamespace());
        if (ce != null) {
            Content content = new Content();
            content.setType(Content.HTML);
            content.setValue(ce.getText());
            item.setContent(content);
        }
        return item;
    }"
158,8961619.txt,none,"  @Override
  public String serialize(EventMessage message) {
    String messageAsString = MessageSerializer.super.serialize(message);
    try (ByteArrayOutputStream baos = new ByteArrayOutputStream()) {
      GZIPOutputStream gout = new GZIPOutputStream(baos);
      gout.write(messageAsString.getBytes(StandardCharsets.UTF_8));
      gout.close();
      byte[] compressed = baos.toByteArray();
      return new String(Base64.getEncoder().encode(compressed), StandardCharsets.UTF_8);
    } catch (IOException e) {
      LOG.error(""could not use gzip output stream"", e);
      LOG.debug(""message "" + messageAsString);
      throw new RuntimeException(""could not use the gzip output Stream"", e);
    }
  }"
159,5784280.txt,none,"    public InputInitializerCallback(InitializerWrapper initializer,
        EventHandler eventHandler, TezVertexID vertexID) {
      this.initializer = initializer;
      this.eventHandler = eventHandler;
      this.vertexID = vertexID;
    }"
160,5476959.txt,none,"    @Override
    public final String getType()
    {
        return ConfiguredObjectTypeRegistry.getType(_clazz);
    }"
161,4460754.txt,none,"      public org.apache.drill.exec.proto.BitControl.PlanFragment.Builder addFragmentBuilder() {
        return getFragmentFieldBuilder().addBuilder(
            org.apache.drill.exec.proto.BitControl.PlanFragment.getDefaultInstance());
      }"
162,6342054.txt,none,"  public void setBreakpoints(@NonNull final Breakpoint[] breakpoints) {
    if (breakpoints == null) {
      throw new IllegalArgumentException(""Property must not be null: breakpoints"");
    }
    this.breakpoints = breakpoints;
  }"
163,4758737.txt,none,"  private static Method getMethod(String className, String methodName, Class<?>... parameterTypes)
      throws ClassNotFoundException, NoSuchMethodException {
    Class<?> clazz = Class.forName(className);
    return clazz.getMethod(methodName, parameterTypes);
  }"
164,8328444.txt,none,"	void m54(C17 arg) {
		i0++;
		i1++;
		i2++;
		i3++;
		i4++;
		i5++;
		i6++;
		i7++;
		i8++;
		i9++;
	}"
165,7234731.txt,none,"  public final int colorModeWideColorGamut() {
    return colorMode & COLOR_MODE_WIDE_COLOR_GAMUT_MASK;
  }"
166,6462487.txt,none,"    public static SignatureProcessor payloadSize ()
    {
        return new SignatureProcessor () {

            private long archiveSize;

            @Override
            public void init ( final long archiveSize )
            {
                this.archiveSize = archiveSize;
            }

            @Override
            public void feedHeader ( final ByteBuffer header )
            {
            }

            @Override
            public void feedPayloadData ( final ByteBuffer data )
            {
            }

            @Override
            public void finish ( final Header<RpmSignatureTag> signature )
            {
                signature.putSize ( this.archiveSize, RpmSignatureTag.PAYLOAD_SIZE, RpmSignatureTag.LONGARCHIVESIZE );
            }
        };
    }"
167,5799553.txt,none,"        @Override
        public Object invoke(Object proxy, Method method, Object[] args) throws Throwable
        {
            // args is null for no-arguments methods
            if (args == null)
            {
                String attributeName = method.getName();

                if (attributes.containsKey(attributeName)) { return attributes.get(attributeName); }
            }

            // TODO: Handling of equals() and hashCode() and toString(), plus other methods
            // inherited from Object

            throw new RuntimeException(String.format(""Annotation proxy for class %s does not handle method %s."",
                    annotationType.getName(), method));
        }"
168,5798489.txt,none,"    public Html5MarkupModel(boolean useApostropheForAttributes)
    {
        super(useApostropheForAttributes);
    }"
169,4384349.txt,none,"    public String getText()
    {
        // entry/searchresult/bookmark
        IEntry[] entries = getEntries();
        if ( entries != null )
        {
            return entries.length > 1 ? Messages.getString( ""CopyAction.CopyEntriesDNs"" ) : Messages.getString( ""CopyAction.CopyEntryDN"" ); //$NON-NLS-1$ //$NON-NLS-2$
        }

        // searches
        ISearch[] searches = getSearches();
        if ( searches != null )
        {
            return searches.length > 1 ? Messages.getString( ""CopyAction.CopySearches"" ) : Messages.getString( ""CopyAction.CopySearch"" ); //$NON-NLS-1$ //$NON-NLS-2$
        }

        // values
        IValue[] values = getValues();
        if ( values != null )
        {
            return values.length > 1 ? Messages.getString( ""CopyAction.CopyValues"" ) : Messages.getString( ""CopyAction.CopyValue"" ); //$NON-NLS-1$ //$NON-NLS-2$
        }

        return Messages.getString( ""CopyAction.Copy"" ); //$NON-NLS-1$
    }"
170,8145522.txt,none,"  public boolean needsTychoBuild() {
    return (this.needsMavenBuild() && this.runtimeProject.isEclipsePluginProject());
  }"
171,5503308.txt,major,"    public static byte[] getIP() {
        try {
            Enumeration allNetInterfaces = NetworkInterface.getNetworkInterfaces();
            InetAddress ip = null;
            byte[] internalIP = null;
            while (allNetInterfaces.hasMoreElements()) {
                NetworkInterface netInterface = (NetworkInterface) allNetInterfaces.nextElement();
                Enumeration addresses = netInterface.getInetAddresses();
                while (addresses.hasMoreElements()) {
                    ip = (InetAddress) addresses.nextElement();
                    if (ip != null && ip instanceof Inet4Address) {
                        byte[] ipByte = ip.getAddress();
                        if (ipByte.length == 4) {
                            if (ipCheck(ipByte)) {
                                if (!isInternalIP(ipByte)) {
                                    return ipByte;
                                } else if (internalIP == null) {
                                    internalIP = ipByte;
                                }
                            }
                        }
                    }
                }
            }
            if (internalIP != null) {
                return internalIP;
            } else {
                throw new RuntimeException(""Can not get local ip"");
            }
        } catch (Exception e) {
            throw new RuntimeException(""Can not get local ip"", e);
        }
    }"
172,8685299.txt,major,"    public static List<Map<String, Object>> getFacilityContactMechValueMaps(Delegator delegator, String facilityId, boolean showOld, String contactMechTypeId) {
        List<Map<String, Object>> facilityContactMechValueMaps = new LinkedList<Map<String,Object>>();

        List<GenericValue> allFacilityContactMechs = null;

        try {
            List<GenericValue> tempCol = EntityQuery.use(delegator).from(""FacilityContactMech"").where(""facilityId"", facilityId).queryList();
            if (contactMechTypeId != null) {
                List<GenericValue> tempColTemp = new LinkedList<GenericValue>();
                for (GenericValue partyContactMech: tempCol) {
                    GenericValue contactMech = delegator.getRelatedOne(""ContactMech"", partyContactMech, false);
                    if (contactMech != null && contactMechTypeId.equals(contactMech.getString(""contactMechTypeId""))) {
                        tempColTemp.add(partyContactMech);
                    }

                }
                tempCol = tempColTemp;
            }
            if (!showOld) tempCol = EntityUtil.filterByDate(tempCol, true);
            allFacilityContactMechs = tempCol;
        } catch (GenericEntityException e) {
            Debug.logWarning(e, module);
        }

        if (allFacilityContactMechs == null) return facilityContactMechValueMaps;

        for (GenericValue facilityContactMech: allFacilityContactMechs) {
            GenericValue contactMech = null;

            try {
                contactMech = facilityContactMech.getRelatedOne(""ContactMech"", false);
            } catch (GenericEntityException e) {
                Debug.logWarning(e, module);
            }
            if (contactMech != null) {
                Map<String, Object> facilityContactMechValueMap = new HashMap<String, Object>();

                facilityContactMechValueMaps.add(facilityContactMechValueMap);
                facilityContactMechValueMap.put(""contactMech"", contactMech);
                facilityContactMechValueMap.put(""facilityContactMech"", facilityContactMech);

                try {
                    facilityContactMechValueMap.put(""contactMechType"", contactMech.getRelatedOne(""ContactMechType"", true));
                } catch (GenericEntityException e) {
                    Debug.logWarning(e, module);
                }

                try {
                    List<GenericValue> facilityContactMechPurposes = facilityContactMech.getRelated(""FacilityContactMechPurpose"", null, null, false);

                    if (!showOld) facilityContactMechPurposes = EntityUtil.filterByDate(facilityContactMechPurposes, true);
                    facilityContactMechValueMap.put(""facilityContactMechPurposes"", facilityContactMechPurposes);
                } catch (GenericEntityException e) {
                    Debug.logWarning(e, module);
                }

                try {
                    if (""POSTAL_ADDRESS"".equals(contactMech.getString(""contactMechTypeId""))) {
                        facilityContactMechValueMap.put(""postalAddress"", contactMech.getRelatedOne(""PostalAddress"", false));
                    } else if (""TELECOM_NUMBER"".equals(contactMech.getString(""contactMechTypeId""))) {
                        facilityContactMechValueMap.put(""telecomNumber"", contactMech.getRelatedOne(""TelecomNumber"", false));
                    }
                } catch (GenericEntityException e) {
                    Debug.logWarning(e, module);
                }
            }
        }

        return facilityContactMechValueMaps;
    }"
173,6306509.txt,none,"    public String getDeviceDisplayName() {
        String displayName = """";
        if (this.properties == null) {
            return displayName;
        }
        String deviceDisplayNameOption = (String) this.properties.get(DEVICE_DISPLAY_NAME);

        // Use the device name from SystemService. This should be kura.device.name from
        // the properties file.
        if (""device-name"".equals(deviceDisplayNameOption)) {
            displayName = this.systemService.getDeviceName();
        }
        // Try to get the device hostname
        else if (""hostname"".equals(deviceDisplayNameOption)) {
            displayName = this.systemService.getHostname();
        }
        // Return the custom field defined by the user
        else if (""custom"".equals(deviceDisplayNameOption)
                && this.properties.get(DEVICE_CUSTOM_NAME) instanceof String) {
            displayName = (String) this.properties.get(DEVICE_CUSTOM_NAME);
        }
        // Return empty string to the server
        else if (""server"".equals(deviceDisplayNameOption)) {
            displayName = """";
        }

        return displayName;
    }"
174,6029853.txt,none,"	public CertificateMessage(X509Certificate[] certificateChain, InetSocketAddress peerAddress) {
		super(peerAddress);
		if (certificateChain == null) {
			throw new NullPointerException(""Certificate chain must not be null"");
		} else {
			setCertificateChain(certificateChain);
			calculateLength();
		}
	}"
175,6624087.txt,none,"  public static void main(String[] args) {

    Application.launch(args);
  }"
